TABLE:  Pier Forces;;;;;;;;;
Story;Pier;Load Case/Combo;Location;P;V2;V3;T;M2;M3
;;;;tonf;tonf;tonf;tonf-m;tonf-m;tonf-m
Story12;5B;SU02;Bottom;-13.31043121;-0.117200873;-0.052906917;0.000629954;-0.02902388;-0.15494402
Story12;5B;SU03;Top;-5.842122642;0.017498403;-0.029984456;0.000133628;0.020126758;-0.039756142
Story12;5B;SU03;Bottom;-10.20990897;0.012734;-0.038666816;0.000703375;-0.021091021;-0.073338573
Story12;5B;SU04;Top;-6.928602891;-0.06312178;-0.036932987;-6.18817E-05;0.024554486;-0.004890908
Story12;5B;SU04;Bottom;-12.05911393;-0.06906778;-0.047012244;0.00064959;-0.025752132;-0.124851512
Story12;5B;SU05 Max;Top;-6.309954469;1.80702269;0.029769012;0.016739624;0.056557007;2.670968285
Story12;5B;SU05 Max;Bottom;-8.488087261;1.801620241;-0.032888307;0.0109736;-0.019325528;1.67731554
Story12;5B;SU05 Min;Top;-7.382958704;-1.934817115;-0.102854765;-0.016874976;-0.008027524;-2.680608881
Story12;5B;SU05 Min;Bottom;-15.41530076;-1.941192127;-0.05979161;-0.009693562;-0.031458917;-1.928253798
Story12;5B;SU06 Max;Top;-6.66334767;5.893932005;-0.01525822;0.04783355;0.034541574;8.402311524
Story12;5B;SU06 Max;Bottom;-10.84354533;5.893112627;-0.041692427;0.019500662;-0.02329283;5.589122987
Story12;5B;SU06 Min;Top;-7.029565503;-6.02172643;-0.057827532;-0.047968902;0.01398791;-8.41195212
Story12;5B;SU06 Min;Bottom;-13.05984269;-6.032684514;-0.05098749;-0.018220624;-0.027491615;-5.840061245
Story12;5B;SU07;Top;-4.184440851;0.011262763;-0.021552076;8.63145E-05;0.014399681;-0.029647643
Story12;5B;SU07;Bottom;-7.39962391;0.007826909;-0.027386628;0.00050456;-0.014954482;-0.056486211
Story12;5B;SU08 Max;Top;-3.647938733;1.882182665;0.044759812;0.016893615;0.046691947;2.64614094
Story12;5B;SU08 Max;Bottom;-3.936017162;1.879233093;-0.013934977;0.010838141;-0.008887787;1.746298458
Story12;5B;SU08 Min;Top;-4.720942968;-1.859657139;-0.087863965;-0.016720986;-0.017892584;-2.705436225
Story12;5B;SU08 Min;Bottom;-10.86323066;-1.863579275;-0.040838279;-0.009829021;-0.021021177;-1.85927088
Story12;5B;SU09 Max;Top;-4.001331934;5.969091981;-0.00026742;0.047987541;0.024676514;8.377484179
Story12;5B;SU09 Max;Bottom;-6.291475234;5.97072548;-0.022739097;0.019365203;-0.01285509;5.658105905
Story12;5B;SU09 Min;Top;-4.367549767;-5.946566455;-0.042836732;-0.047814912;0.004122849;-8.436779464
Story12;5B;SU09 Min;Bottom;-8.507772585;-5.955071661;-0.032034159;-0.018356083;-0.017053874;-5.771078327
Story12;I4;SU01;Top;-18.30781821;3.2862527;-0.015193825;0.021283185;0.024056797;0.16450133
Story12;I4;SU01;Bottom;-17.9892141;3.287143241;-0.028588587;0.003210804;-0.024526424;1.113776827
Story12;I4;SU02;Top;-22.81855727;4.263393039;-0.011932155;0.019444389;0.020290165;0.008223846
Story12;I4;SU02;Bottom;-20.98253371;4.267583541;-0.027776847;-0.001644191;-0.02297426;1.442251492
Story12;I4;SU03;Top;-16.5882479;3.00493388;-0.012884679;0.018414699;0.020561927;-0.056933123
Story12;I4;SU03;Bottom;-16.16577666;3.005078524;-0.024821028;0.002345027;-0.021186253;0.933424549
Story12;I4;SU04;Top;-20.2512345;3.742964502;-0.012325084;0.01901392;0.020407076;0.03481991
Story12;I4;SU04;Bottom;-18.9838056;3.74579731;-0.026586811;-4.32812E-05;-0.022261578;1.256917662
Story12;I4;SU05 Max;Top;-16.76603383;7.629237325;0.011236814;0.0296865;0.041499848;5.562654527
Story12;I4;SU05 Max;Bottom;-9.548758073;7.724958698;-0.007559892;0.006397811;-0.013899929;4.064214404
Story12;I4;SU05 Min;Top;-23.17653998;-0.260899479;-0.035973607;0.008233858;-0.00064933;-5.369305794
Story12;I4;SU05 Min;Bottom;-27.9523217;-0.350568563;-0.045415902;-0.006229942;-0.030520974;-1.537103266
Story12;I4;SU06 Max;Top;-15.77613063;10.71922611;0.05995199;0.046812206;0.087729303;4.473531773
Story12;I4;SU06 Max;Bottom;-7.980451251;10.87344361;0.027703245;0.009654619;-0.002120481;4.968170989
Story12;I4;SU06 Min;Top;-24.16644318;-3.350888259;-0.084688784;-0.008891847;-0.046878785;-4.28018304
Story12;I4;SU06 Min;Bottom;-29.52062852;-3.499053478;-0.080679039;-0.00948675;-0.042300423;-2.441059852
Story12;I4;SU07;Top;-11.76931171;2.112591021;-0.009767459;0.013682047;0.015465084;0.105750855
Story12;I4;SU07;Bottom;-11.56449478;2.113163512;-0.018378377;0.002064088;-0.015766987;0.715999389
Story12;I4;SU08 Max;Top;-8.564058629;6.057659423;0.013837751;0.024408369;0.036539673;5.571731015
Story12;I4;SU08 Max;Bottom;-2.362712967;6.150927142;0.000549627;0.008377965;-0.007456464;3.516658224
Story12;I4;SU08 Min;Top;-14.97456478;-1.832477381;-0.033372669;0.002955726;-0.005609505;-5.360229306
Story12;I4;SU08 Min;Bottom;-20.76627659;-1.924600119;-0.037306382;-0.004249789;-0.024077509;-2.084659446
Story12;I4;SU09 Max;Top;-7.574155431;9.147648204;0.062552928;0.041534074;0.082769128;4.482608261
Story12;I4;SU09 Max;Bottom;-0.794406146;9.299412058;0.035812764;0.011634773;0.004322985;4.420614809
Story12;I4;SU09 Min;Top;-15.96446798;-4.922466161;-0.082087846;-0.014169979;-0.05183896;-4.271106552
Story12;I4;SU09 Min;Bottom;-22.33458341;-5.073085034;-0.072569519;-0.007506597;-0.035856958;-2.988616032
Story12;7D;SU01;Top;-10.02611859;3.369814768;-0.003950195;0.007847493;-0.002401403;-4.667108626
Story12;7D;SU01;Bottom;-15.80702339;3.39253157;-0.00588335;0.011387119;-0.002399691;0.600472147
Story12;7D;SU02;Top;-13.62801995;4.549631144;-0.004188014;0.008355846;-0.00277092;-5.42349916
Story12;7D;SU02;Bottom;-19.11219492;4.5783846;-0.008640477;0.016773047;-0.003423069;1.778864228
Story12;7D;SU03;Top;-8.593837333;2.888074675;-0.003388789;0.006725978;-0.002058239;-4.000429768
