TABLE:  Pier Section Properties;;;;;;;;;;;;;;;
Story;Pier;Axis Angle;# Area Objects;# Line Objects;Width Bottom;Thickness Bottom;Width Top;Thickness Top;Material;CG Bottom X;CG Bottom Y;CG Bottom Z;CG Top X;CG Top Y;CG Top Z
;;deg;;;m;m;m;m;;m;m;m;m;m;m
Story11;L1;0;42;0;5.525;0.12;5.525;0.12;H210;17.8875;6.79;23.8;17.8875;6.79;26.18
Story10;1B;90;66;0;7.74;0.12;7.74;0.12;H210;41.42;6.79;21.42;41.42;6.79;23.8
Story10;I2;0;30;0;3.625;0.12;3.625;0.12;H210;33.9625;8.205;21.42;33.9625;8.205;23.8
Story10;5B;90;27;0;2.83;0.12;2.83;0.12;H210;35.835;6.79;21.42;35.835;6.79;23.8
Story10;I4;0;33;0;3.625;0.12;3.625;0.12;H210;33.9625;5.375;21.42;33.9625;5.375;23.8
Story10;7D;90;39;0;4.82;0.12;4.82;0.12;H210;31.065;2.965;21.42;31.065;2.965;23.8
Story10;7B;90;39;0;4.82;0.12;4.82;0.12;H210;31.065;10.615;21.42;31.065;10.615;23.8
Story10;J4;0;27;0;3.625;0.12;3.625;0.12;H210;28.1675;5.375;21.42;28.1675;5.375;23.8
Story10;J2;0;27;0;3.625;0.12;3.625;0.12;H210;28.1675;8.205;21.42;28.1675;8.205;23.8
Story10;8B;90;24;0;2.83;0.12;2.83;0.12;H210;26.295;6.79;21.42;26.295;6.79;23.8
Story10;10;90;66;0;7.74;0.12;7.74;0.12;H210;20.71;6.79;21.42;20.71;6.79;23.8
Story10;J1;0;30;0;3.625;0.12;3.625;0.12;H210;13.2525;8.205;21.42;13.2525;8.205;23.8
Story10;8A;90;27;0;2.83;0.12;2.83;0.12;H210;15.125;6.79;21.42;15.125;6.79;23.8
Story10;J3;0;33;0;3.625;0.12;3.625;0.12;H210;13.2525;5.375;21.42;13.2525;5.375;23.8
Story10;7C;90;39;0;4.82;0.12;4.82;0.12;H210;10.355;2.965;21.42;10.355;2.965;23.8
Story10;7A;90;42;0;4.82;0.12;4.82;0.12;H210;10.355;10.615;21.42;10.355;10.615;23.8
Story10;I1;0;27;0;3.625;0.12;3.625;0.12;H210;7.4575;8.205;21.42;7.4575;8.205;23.8
Story10;I3;0;27;0;3.625;0.12;3.625;0.12;H210;7.4575;5.375;21.42;7.4575;5.375;23.8
Story10;5A;90;24;0;2.83;0.12;2.83;0.12;H210;5.585;6.79;21.42;5.585;6.79;23.8
Story10;K1;0;42;0;5.585;0.12;5.585;0.12;H210;2.7925;6.79;21.42;2.7925;6.79;23.8
Story10;1A;90;66;0;7.74;0.12;7.74;0.12;H210;0;6.79;21.42;0;6.79;23.8
Story10;K2;0;42;0;5.585;0.12;5.585;0.12;H210;38.6275;6.79;21.42;38.6275;6.79;23.8
Story10;E4;0;9;0;0.945;0.15;0.945;0.15;H210;30.5925;0.555;21.42;30.5925;0.555;23.8
Story10;E3;0;9;0;0.945;0.15;0.945;0.15;H210;9.8825;0.555;21.42;9.8825;0.555;23.8
Story10;E2;0;18;0;1.89;0.15;1.89;0.15;H210;31.065;13.025;21.42;31.065;13.025;23.8
Story10;E1;0;21;0;1.95;0.15;1.95;0.15;H210;10.385;13.025;21.42;10.385;13.025;23.8
Story10;L2;0;42;0;5.525;0.12;5.525;0.12;H210;23.5325;6.79;21.42;23.5325;6.79;23.8
Story10;L1;0;42;0;5.525;0.12;5.525;0.12;H210;17.8875;6.79;21.42;17.8875;6.79;23.8
Story9;1B;90;66;0;7.74;0.12;7.74;0.12;H210;41.42;6.79;19.04;41.42;6.79;21.42
Story9;I2;0;30;0;3.625;0.12;3.625;0.12;H210;33.9625;8.205;19.04;33.9625;8.205;21.42
Story9;5B;90;27;0;2.83;0.12;2.83;0.12;H210;35.835;6.79;19.04;35.835;6.79;21.42
Story9;I4;0;33;0;3.625;0.12;3.625;0.12;H210;33.9625;5.375;19.04;33.9625;5.375;21.42
Story9;7D;90;39;0;4.82;0.12;4.82;0.12;H210;31.065;2.965;19.04;31.065;2.965;21.42
Story9;7B;90;39;0;4.82;0.12;4.82;0.12;H210;31.065;10.615;19.04;31.065;10.615;21.42
Story9;J4;0;27;0;3.625;0.12;3.625;0.12;H210;28.1675;5.375;19.04;28.1675;5.375;21.42
Story9;J2;0;27;0;3.625;0.12;3.625;0.12;H210;28.1675;8.205;19.04;28.1675;8.205;21.42
Story9;8B;90;24;0;2.83;0.12;2.83;0.12;H210;26.295;6.79;19.04;26.295;6.79;21.42
Story9;10;90;66;0;7.74;0.12;7.74;0.12;H210;20.71;6.79;19.04;20.71;6.79;21.42
Story9;J1;0;30;0;3.625;0.12;3.625;0.12;H210;13.2525;8.205;19.04;13.2525;8.205;21.42
