TABLE:  Shear Wall Pier Summary - ACI 318-08;;;;;;;;;;;;;;;;;;;;;;;;;;
Story;Pier Label;Station;Design Type;Edge Rebar;End Rebar;Rebar Spacing;Required Reinf;Current Reinf;Pier Leg;Leg X1;Leg Y1;Leg X2;Leg Y2;Shear Rebar;Compressive Stress Left;Compressive Stress Right;Compressive Stress Limit Left;Compressive Stress Limit Right;C Depth Left;C Limit Left;C Depth Right;C Limit Right;Boundary Zone Left;Boundary Zone Right;Warnings;Errors
;;;;;;m;%;%;;m;m;m;m;m²/m;tonf/m²;tonf/m²;tonf/m²;tonf/m²;m;m;m;m;m;m;;
Story11;I2;Bottom;Uniform;#2;#2;0.15;0.12;0.37;Bottom Leg 1;32.15;8.205;35.775;8.205;0.0003;11.96;12.61;42;42;;;;;;;No Message;No Message
Story10;I2;Top;Uniform;#2;#2;0.15;0.12;0.37;Top Leg 1;32.15;8.205;35.775;8.205;0.0003;11.52;12.74;42;42;;;;;;;No Message;No Message
Story10;I2;Bottom;Uniform;#2;#2;0.15;0.2;0.37;Bottom Leg 1;32.15;8.205;35.775;8.205;0.0003;17.23;17.88;42;42;;;;;;;No Message;No Message
Story9;I2;Top;Uniform;#2;#2;0.15;0.21;0.37;Top Leg 1;32.15;8.205;35.775;8.205;0.0003;16.05;17.79;42;42;;;;;;;No Message;No Message
Story9;I2;Bottom;Uniform;#2;#2;0.15;0.34;0.37;Bottom Leg 1;32.15;8.205;35.775;8.205;0.0003;23.36;24;42;42;;;;;;;No Message;No Message
Story8;I2;Top;Uniform;#2;#2;0.15;0.33;0.37;Top Leg 1;32.15;8.205;35.775;8.205;0.0003;24.64;23.97;42;42;;;;;;;No Message;No Message
Story8;I2;Bottom;Uniform;#2;#2;0.15;0.41;0.37;Bottom Leg 1;32.15;8.205;35.775;8.205;0.0003;34.31;34.88;42;42;0.75829;0.62593;0.75829;0.62593;0.39579;0.39579;No Message;No Message
Story7;I2;Top;Uniform;#2;#2;0.15;0.4;0.37;Top Leg 1;32.15;8.205;35.775;8.205;0.0003;33.63;33.04;56;56;;;;;;;No Message;No Message
Story7;I2;Bottom;Uniform;#2;#2;0.15;0.61;0.37;Bottom Leg 1;32.15;8.205;35.775;8.205;0.0003;43.57;44.1;56;56;0.70673;0.66641;0.70673;0.66641;0.35337;0.35337;No Message;No Message
Story6;I2;Top;Uniform;#2;#2;0.15;0.6;0.37;Top Leg 1;32.15;8.205;35.775;8.205;0.0003;42.32;41.86;56;56;0.76305;0.71614;;;0.40055;;No Message;No Message
Story6;I2;Bottom;Uniform;#2;#2;0.15;0.74;0.37;Bottom Leg 1;32.15;8.205;35.775;8.205;0.0003;53.98;54.24;56;56;0.84584;0.71614;0.84584;0.71614;0.48334;0.48334;No Message;No Message
Story5;I2;Top;Uniform;#2;#2;0.15;0.73;0.37;Top Leg 1;32.15;8.205;35.775;8.205;0.0003;52.35;52.03;56;56;0.9054;0.79928;0.9054;0.79928;0.5429;0.5429;No Message;No Message
Story5;I2;Bottom;Uniform;#2;#2;0.15;0.94;0.37;Bottom Leg 1;32.15;8.205;35.775;8.205;0.0003;65.49;65.58;56;56;0.99777;0.79928;0.99777;0.79928;0.63527;0.63527;No Message;No Message
Story4;I2;Top;Uniform;8d;8d;0.15;0.73;0.46;Top Leg 1;32.15;8.205;35.775;8.205;0.00038;50.99;51.41;70;70;;;;;;;No Message;No Message
Story4;I2;Bottom;Uniform;8d;8d;0.15;0.92;0.46;Bottom Leg 1;32.15;8.205;35.775;8.205;0.00038;62.86;63.51;70;70;0.81861;0.8631;0.81861;0.8631;0.45611;0.45611;No Message;No Message
Story3;I2;Top;Uniform;8d;8d;0.15;0.91;0.46;Top Leg 1;32.15;8.205;35.775;8.205;0.00038;61.49;61.95;70;70;0.86293;0.8631;0.86293;0.8631;0.50043;0.50043;No Message;No Message
Story3;I2;Bottom;Uniform;8d;8d;0.15;1.08;0.46;Bottom Leg 1;32.15;8.205;35.775;8.205;0.00038;73.38;73.98;70;70;0.93014;0.8631;0.93014;0.8631;0.56764;0.56764;No Message;No Message
Story2;I2;Top;Uniform;8d;8d;0.15;1.08;0.46;Top Leg 1;32.15;8.205;35.775;8.205;0.00038;72.28;72.58;70;70;0.97159;0.8631;0.97159;0.8631;0.60909;0.60909;No Message;No Message
Story2;I2;Bottom;Uniform;8d;8d;0.15;1.2;0.46;Bottom Leg 1;32.15;8.205;35.775;8.205;0.00038;84.64;85.08;70;70;1.03297;0.8631;1.03297;0.8631;0.67047;0.67047;No Message;No Message
Story1;I2;Top;Uniform;8d;8d;0.15;1.2;0.46;Top Leg 1;32.15;8.205;35.775;8.205;0.00038;84.3;84.49;70;70;1.06994;0.8631;1.06994;0.8631;0.70744;0.70744;No Message;No Message
Story1;I2;Bottom;Uniform;8d;8d;0.15;1.42;0.46;Bottom Leg 1;32.15;8.205;35.775;8.205;0.00038;100.64;100.96;70;70;1.11912;0.8631;1.11912;0.8631;0.75662;0.75662;No Message;No Message
Story12;5B;Top;Uniform;#2;#2;0.15;0.12;0.38;Top Leg 1;35.835;5.375;35.835;8.205;0.0003;3.85;3.84;42;42;;;;;;;No Message;No Message
Story12;5B;Bottom;Uniform;#2;#2;0.15;0.12;0.38;Bottom Leg 1;35.835;5.375;35.835;8.205;0.0003;5.74;5.59;42;42;;;;;;;No Message;No Message
Story11;5B;Top;Uniform;#2;#2;0.15;0.12;0.38;Top Leg 1;35.835;5.375;35.835;8.205;0.0003;6.39;6.28;42;42;;;;;;;No Message;No Message
Story11;5B;Bottom;Uniform;#2;#2;0.15;0.12;0.38;Bottom Leg 1;35.835;5.375;35.835;8.205;0.0003;9.81;9.46;42;42;;;;;;;No Message;No Message
Story10;5B;Top;Uniform;#2;#2;0.15;0.12;0.38;Top Leg 1;35.835;5.375;35.835;8.205;0.0003;8.88;9.18;42;42;;;;;;;No Message;No Message
Story10;5B;Bottom;Uniform;#2;#2;0.15;0.12;0.38;Bottom Leg 1;35.835;5.375;35.835;8.205;0.0003;13.91;13.45;42;42;;;;;;;No Message;No Message
Story9;5B;Top;Uniform;#2;#2;0.15;0.12;0.38;Top Leg 1;35.835;5.375;35.835;8.205;0.0003;11.49;12.49;42;42;;;;;;;No Message;No Message
Story9;5B;Bottom;Uniform;#2;#2;0.15;0.12;0.38;Bottom Leg 1;35.835;5.375;35.835;8.205;0.0003;18.13;17.57;42;42;;;;;;;No Message;No Message
Story8;5B;Top;Uniform;#2;#2;0.15;0.12;0.38;Top Leg 1;35.835;5.375;35.835;8.205;0.0003;16.81;16.27;42;42;;;;;;;No Message;No Message
Story8;5B;Bottom;Uniform;#2;#2;0.15;0.12;0.38;Bottom Leg 1;35.835;5.375;35.835;8.205;0.0003;22.49;21.85;42;42;;;;;;;No Message;No Message
Story7;5B;Top;Uniform;#2;#2;0.15;0.12;0.38;Top Leg 1;35.835;5.375;35.835;8.205;0.0003;20.99;20.33;56;56;;;;;;;No Message;No Message
Story7;5B;Bottom;Uniform;#2;#2;0.15;0.16;0.38;Bottom Leg 1;35.835;5.375;35.835;8.205;0.0003;27.03;26.34;56;56;;;;;;;No Message;No Message
